time,y,true_probs,oracle,oracle_80,constant_0.5,constant_0,constant_1,laplace,k29_epa,k29_poly3,k29_rbf0.01,mix_50_50_random_oracle,mix_80_20_random_oracle,mix_50_50_oracle_random,mix_80_20_oracle_random
97,0,0.5010500020720821,0.0,0.2,0.5,0,1,0.5510204081632653,0.6015625,0.5654296875,0.5625,0.0,0.5,0.5,0.0
98,1,0.6785870493905836,1.0,0.8,0.5,0,1,0.5555555555555556,0.447265625,0.4873046875,0.560546875,0.5,0.5,1.0,1.0
99,0,0.5126912092703619,0.0,0.2,0.5,0,1,0.55,0.5888671875,0.55078125,0.5625,0.0,0.5,0.5,0.0
100,1,0.5401989363444701,1.0,0.8,0.5,0,1,0.5544554455445545,0.439453125,0.4775390625,0.560546875,0.5,0.5,1.0,1.0
101,1,0.6883150697056255,1.0,0.8,0.5,0,1,0.5588235294117647,0.5810546875,0.5400390625,0.5615234375,1.0,1.0,0.5,0.5
102,0,0.3652240938857554,0.0,0.2,0.5,0,1,0.5533980582524272,0.685546875,0.603515625,0.5634765625,0.5,0.5,0.0,0.0
103,0,0.3729515001514266,0.0,0.2,0.5,0,1,0.5480769230769231,0.5146484375,0.515625,0.5615234375,0.0,0.5,0.5,0.0
104,0,0.5969396708158011,0.0,0.2,0.5,0,1,0.5428571428571428,0.38671875,0.4521484375,0.5595703125,0.5,0.5,0.0,0.0
105,1,0.382687659488584,1.0,0.8,0.5,0,1,0.5471698113207547,0.2919921875,0.4033203125,0.5576171875,1.0,0.5,0.5,1.0
106,1,0.6943621185649292,1.0,0.8,0.5,0,1,0.5514018691588785,0.46484375,0.46484375,0.5595703125,0.5,1.0,1.0,0.5
107,1,0.4586381019240252,1.0,0.8,0.5,0,1,0.5555555555555556,0.5966796875,0.5263671875,0.560546875,1.0,0.5,0.5,1.0
108,0,0.4252545188559242,0.0,0.2,0.5,0,1,0.5504587155963303,0.6953125,0.587890625,0.5615234375,0.5,0.5,0.0,0.0
109,1,0.6922942026480385,1.0,0.8,0.5,0,1,0.5545454545454546,0.5263671875,0.505859375,0.560546875,1.0,0.5,0.5,1.0
110,0,0.6480514791434424,0.0,0.2,0.5,0,1,0.5495495495495496,0.640625,0.5673828125,0.5615234375,0.5,0.5,0.0,0.0
111,1,0.686755896042657,1.0,0.8,0.5,0,1,0.5535714285714286,0.486328125,0.4921875,0.5595703125,1.0,1.0,0.5,0.5
112,0,0.5906044658275386,0.0,0.2,0.5,0,1,0.5486725663716814,0.609375,0.552734375,0.5615234375,0.5,0.5,0.0,0.0
113,1,0.4138774314945297,1.0,0.8,0.5,0,1,0.5526315789473685,0.4638671875,0.482421875,0.5595703125,1.0,0.5,0.5,1.0
114,0,0.6910064953099033,0.0,0.2,0.5,0,1,0.5478260869565217,0.591796875,0.5419921875,0.560546875,0.5,0.5,0.0,0.0
115,1,0.473199662904862,1.0,0.8,0.5,0,1,0.5517241379310345,0.451171875,0.4755859375,0.55859375,1.0,0.5,0.5,1.0
116,1,0.5802456395796395,1.0,0.8,0.5,0,1,0.5555555555555556,0.5810546875,0.53515625,0.560546875,0.5,1.0,1.0,0.5
117,1,0.5947251967773748,1.0,0.8,0.5,0,1,0.559322033898305,0.6787109375,0.59375,0.5615234375,1.0,0.5,0.5,1.0
118,1,0.4844989906909165,1.0,0.8,0.5,0,1,0.5630252100840336,0.75390625,0.6533203125,0.5625,0.5,0.5,1.0,1.0
119,1,0.561407937034608,1.0,0.8,0.5,0,1,0.5666666666666667,0.810546875,0.7109375,0.564453125,1.0,0.5,0.5,1.0
120,1,0.5922206671566527,1.0,0.8,0.5,0,1,0.5702479338842975,0.853515625,0.767578125,0.5654296875,0.5,0.5,1.0,1.0
121,1,0.537642553115563,1.0,0.8,0.5,0,1,0.5737704918032787,0.88671875,0.8212890625,0.56640625,1.0,1.0,0.5,0.5
122,0,0.3900599209415805,0.0,0.2,0.5,0,1,0.5691056910569106,0.912109375,0.869140625,0.568359375,0.5,0.5,0.0,0.0
123,1,0.5298238174206056,1.0,0.8,0.5,0,1,0.5725806451612904,0.705078125,0.6533203125,0.56640625,1.0,0.5,0.5,1.0
124,1,0.632638589668703,1.0,0.8,0.5,0,1,0.576,0.7724609375,0.708984375,0.5673828125,0.5,0.5,1.0,1.0
125,0,0.4305432140268634,0.0,0.2,0.5,0,1,0.5714285714285714,0.82421875,0.763671875,0.5693359375,0.0,0.5,0.5,0.0
126,1,0.4850365459672329,1.0,0.8,0.5,0,1,0.5748031496062992,0.63671875,0.619140625,0.5673828125,0.5,1.0,1.0,0.5
127,1,0.4564846448278362,1.0,0.8,0.5,0,1,0.578125,0.7197265625,0.6748046875,0.568359375,1.0,0.5,0.5,1.0
128,1,0.6849263728479342,1.0,0.8,0.5,0,1,0.5813953488372093,0.7822265625,0.7294921875,0.5703125,0.5,0.5,1.0,1.0
129,0,0.5672294757012435,0.0,0.2,0.5,0,1,0.5769230769230769,0.8310546875,0.7822265625,0.572265625,0.0,0.5,0.5,0.0
130,0,0.5407461836241111,0.0,0.2,0.5,0,1,0.5725190839694656,0.64453125,0.6298828125,0.5693359375,0.5,0.5,0.0,0.0
131,0,0.4230083925554683,0.0,0.2,0.5,0,1,0.5681818181818182,0.5,0.5439453125,0.568359375,0.0,0.0,0.5,0.5
132,0,0.5539249191291817,0.0,0.2,0.5,0,1,0.5639097744360902,0.3876953125,0.482421875,0.56640625,0.5,0.5,0.0,0.0
133,0,0.4325667339342623,0.0,0.2,0.5,0,1,0.5597014925373134,0.3017578125,0.43359375,0.564453125,0.0,0.5,0.5,0.0
134,1,0.5031830558274352,1.0,0.8,0.5,0,1,0.562962962962963,0.2353515625,0.3935546875,0.5634765625,0.5,0.5,1.0,1.0
135,1,0.4364153921621119,1.0,0.8,0.5,0,1,0.5661764705882353,0.4033203125,0.447265625,0.564453125,1.0,0.5,0.5,1.0
136,1,0.56764332949465,1.0,0.8,0.5,0,1,0.5693430656934306,0.53515625,0.5009765625,0.5654296875,0.5,1.0,1.0,0.5
137,1,0.5576590816614941,1.0,0.8,0.5,0,1,0.572463768115942,0.6376953125,0.5546875,0.56640625,1.0,0.5,0.5,1.0
138,0,0.4791701244422005,0.0,0.2,0.5,0,1,0.5683453237410072,0.716796875,0.6083984375,0.568359375,0.5,0.5,0.0,0.0
139,0,0.5396006712661645,0.0,0.2,0.5,0,1,0.5642857142857143,0.560546875,0.53125,0.56640625,0.0,0.5,0.5,0.0
140,0,0.3906938491269494,0.0,0.2,0.5,0,1,0.5602836879432624,0.4384765625,0.4736328125,0.5654296875,0.5,0.5,0.0,0.0
141,1,0.3508742407294394,1.0,0.8,0.5,0,1,0.5633802816901409,0.34375,0.427734375,0.5634765625,1.0,1.0,0.5,0.5
142,0,0.5439391701264537,0.0,0.2,0.5,0,1,0.5594405594405595,0.4853515625,0.48046875,0.564453125,0.5,0.5,0.0,0.0
143,1,0.5166673495372529,1.0,0.8,0.5,0,1,0.5625,0.380859375,0.43359375,0.5634765625,1.0,0.5,0.5,1.0
144,1,0.5635031436892106,1.0,0.8,0.5,0,1,0.5655172413793104,0.513671875,0.486328125,0.564453125,0.5,0.5,1.0,1.0
145,0,0.7383144774863942,0.0,0.2,0.5,0,1,0.5616438356164384,0.6181640625,0.5380859375,0.5654296875,0.0,0.5,0.5,0.0
146,0,0.5944479486990414,0.0,0.2,0.5,0,1,0.5578231292517006,0.486328125,0.48046875,0.564453125,0.5,0.0,0.0,0.5
147,1,0.4087177774555841,1.0,0.8,0.5,0,1,0.5608108108108109,0.3828125,0.43359375,0.5625,1.0,0.5,0.5,1.0
148,1,0.6117016288095853,1.0,0.8,0.5,0,1,0.5637583892617449,0.513671875,0.4853515625,0.5634765625,0.5,0.5,1.0,1.0
149,1,0.3684092589488479,1.0,0.8,0.5,0,1,0.5666666666666667,0.6162109375,0.537109375,0.564453125,1.0,0.5,0.5,1.0
150,1,0.4538415395185291,1.0,0.8,0.5,0,1,0.5695364238410596,0.6962890625,0.5888671875,0.5654296875,0.5,0.5,1.0,1.0
151,1,0.4931758394675369,1.0,0.8,0.5,0,1,0.5723684210526315,0.759765625,0.640625,0.56640625,1.0,1.0,0.5,0.5
152,1,0.6713342721649367,1.0,0.8,0.5,0,1,0.5751633986928104,0.8095703125,0.69140625,0.5673828125,0.5,0.5,1.0,1.0
153,0,0.425524517795156,0.0,0.2,0.5,0,1,0.5714285714285714,0.8486328125,0.7412109375,0.568359375,0.0,0.5,0.5,0.0
154,0,0.4173561461340985,0.0,0.2,0.5,0,1,0.567741935483871,0.673828125,0.619140625,0.5673828125,0.5,0.5,0.0,0.0
155,1,0.4901547475574567,1.0,0.8,0.5,0,1,0.5705128205128205,0.5341796875,0.54296875,0.56640625,1.0,0.5,0.5,1.0
156,1,0.4336521713637892,1.0,0.8,0.5,0,1,0.5732484076433121,0.6298828125,0.5927734375,0.5673828125,0.5,1.0,1.0,0.5
157,0,0.6126635922106507,0.0,0.2,0.5,0,1,0.569620253164557,0.7060546875,0.6435546875,0.568359375,0.0,0.5,0.5,0.0
158,0,0.3920068491636577,0.0,0.2,0.5,0,1,0.5660377358490566,0.5615234375,0.5595703125,0.56640625,0.5,0.5,0.0,0.0
159,0,0.3852531347588898,0.0,0.2,0.5,0,1,0.5625,0.4462890625,0.5,0.5654296875,0.0,0.5,0.5,0.0
160,0,0.4562179955255566,0.0,0.2,0.5,0,1,0.5590062111801242,0.35546875,0.4521484375,0.564453125,0.5,0.5,0.0,0.0
161,0,0.4501967549307695,0.0,0.2,0.5,0,1,0.5555555555555556,0.283203125,0.412109375,0.5634765625,0.0,0.0,0.5,0.5
162,1,0.6929532053816986,1.0,0.8,0.5,0,1,0.558282208588957,0.2265625,0.376953125,0.5615234375,0.5,0.5,1.0,1.0
163,1,0.594942080692576,1.0,0.8,0.5,0,1,0.5609756097560976,0.3818359375,0.427734375,0.5625,1.0,0.5,0.5,1.0
164,0,0.5087551241385191,0.0,0.2,0.5,0,1,0.5575757575757576,0.5068359375,0.4765625,0.5634765625,0.5,0.5,0.0,0.0
165,1,0.3774564481169832,1.0,0.8,0.5,0,1,0.5602409638554217,0.404296875,0.43359375,0.5625,1.0,0.5,0.5,1.0
166,0,0.5844362976401547,0.0,0.2,0.5,0,1,0.5568862275449101,0.5244140625,0.482421875,0.5634765625,0.5,0.0,0.0,0.5
167,1,0.3999784652610435,1.0,0.8,0.5,0,1,0.5595238095238095,0.4189453125,0.4384765625,0.5625,1.0,0.5,0.5,1.0
168,0,0.3455228903222388,0.0,0.2,0.5,0,1,0.5562130177514792,0.53515625,0.4873046875,0.5634765625,0.5,0.5,0.0,0.0
169,0,0.6188029792352302,0.0,0.2,0.5,0,1,0.5529411764705883,0.4287109375,0.4423828125,0.5625,0.0,0.5,0.5,0.0
170,0,0.531694261192485,0.0,0.2,0.5,0,1,0.5497076023391813,0.34375,0.404296875,0.560546875,0.5,0.5,0.0,0.0
171,0,0.5920858823780819,0.0,0.2,0.5,0,1,0.5465116279069767,0.2763671875,0.3720703125,0.5595703125,0.0,0.0,0.5,0.5
172,0,0.5318727652943022,0.0,0.2,0.5,0,1,0.5433526011560693,0.22265625,0.3427734375,0.55859375,0.5,0.5,0.0,0.0
173,1,0.5856830611902691,1.0,0.8,0.5,0,1,0.5459770114942529,0.1796875,0.3173828125,0.5576171875,1.0,0.5,0.5,1.0
174,1,0.4348974406699853,1.0,0.8,0.5,0,1,0.5485714285714286,0.3388671875,0.3671875,0.55859375,0.5,0.5,1.0,1.0
175,0,0.3965757158215535,0.0,0.2,0.5,0,1,0.5454545454545454,0.4677734375,0.416015625,0.5595703125,0.0,0.5,0.5,0.0
176,1,0.5681594518281627,1.0,0.8,0.5,0,1,0.5480225988700564,0.376953125,0.3828125,0.5576171875,0.5,1.0,1.0,0.5
177,1,0.4196590335826159,1.0,0.8,0.5,0,1,0.550561797752809,0.498046875,0.431640625,0.55859375,1.0,0.5,0.5,1.0
178,1,0.4310450222249799,1.0,0.8,0.5,0,1,0.553072625698324,0.595703125,0.4794921875,0.5595703125,0.5,0.5,1.0,1.0
179,0,0.4544467496482657,0.0,0.2,0.5,0,1,0.55,0.673828125,0.52734375,0.560546875,0.0,0.5,0.5,0.0
180,0,0.5017479159025057,0.0,0.2,0.5,0,1,0.5469613259668509,0.5439453125,0.4755859375,0.5595703125,0.5,0.5,0.0,0.0
181,0,0.4646006088746516,0.0,0.2,0.5,0,1,0.5439560439560439,0.4384765625,0.43359375,0.55859375,0.0,0.0,0.5,0.5
182,1,0.3625048706581981,1.0,0.8,0.5,0,1,0.546448087431694,0.3544921875,0.3984375,0.5576171875,0.5,0.5,1.0,1.0
183,0,0.4356381597167109,0.0,0.2,0.5,0,1,0.5434782608695652,0.478515625,0.4462890625,0.55859375,0.0,0.5,0.5,0.0
184,1,0.2776596847775573,1.0,0.8,0.5,0,1,0.5459459459459459,0.38671875,0.408203125,0.556640625,0.5,0.5,1.0,1.0
185,1,0.5625231451027187,1.0,0.8,0.5,0,1,0.5483870967741935,0.50390625,0.4560546875,0.5576171875,1.0,0.5,0.5,1.0
186,1,0.3397942344393252,1.0,0.8,0.5,0,1,0.5508021390374331,0.59765625,0.50390625,0.55859375,0.5,1.0,1.0,0.5
187,1,0.3895616660571549,1.0,0.8,0.5,0,1,0.5531914893617021,0.673828125,0.55078125,0.5595703125,1.0,0.5,0.5,1.0
188,0,0.5052165079260974,0.0,0.2,0.5,0,1,0.5502645502645502,0.7353515625,0.59765625,0.560546875,0.5,0.5,0.0,0.0
189,1,0.4260437003608687,1.0,0.8,0.5,0,1,0.5526315789473685,0.59765625,0.5322265625,0.5595703125,1.0,0.5,0.5,1.0
190,1,0.6543014595406735,1.0,0.8,0.5,0,1,0.5549738219895288,0.6728515625,0.5791015625,0.560546875,0.5,0.5,1.0,1.0
